id,date,incident_type,severity,status,description,reported_by,created_at
861,2025-02-27,Phishing,Critical,Resolved,Description for incident 861,Web Team,2025-02-27 10:32:00
862,2025-01-19,Insider Threat,Medium,Mitigating,Description for incident 862,Alice,2025-01-19 01:27:00
863,2025-01-27,Network Intrusion,Low,Investigating,Description for incident 863,Grace,2025-01-27 23:26:00
864,2025-01-04,Insider Threat,Critical,Mitigating,Description for incident 864,Charlie,2025-01-04 09:03:00
865,2025-01-15,Malware,Critical,Investigating,Description for incident 865,Web Team,2025-01-15 23:13:00
866,2025-01-31,Network Intrusion,Critical,Mitigating,Description for incident 866,Eve,2025-01-31 20:06:00
867,2025-02-19,SQL Injection,High,Mitigating,Description for incident 867,Bob,2025-02-19 19:02:00
868,2025-02-20,Phishing,Critical,Resolved,Description for incident 868,Frank,2025-02-20 17:23:00
869,2025-02-04,Ransomware,Critical,Resolved,Description for incident 869,Security Team,2025-02-04 23:48:00
870,2025-02-13,Phishing,High,Mitigating,Description for incident 870,Charlie,2025-02-13 15:34:00
871,2025-01-10,Unauthorized Access,High,Resolved,Description for incident 871,Eve,2025-01-10 15:00:00
872,2025-03-02,DDoS,Medium,Investigating,Description for incident 872,Alice,2025-03-02 07:33:00
873,2025-02-24,Data Breach,Critical,Investigating,Description for incident 873,Security Team,2025-02-24 16:07:00
874,2025-01-26,Password Attack,Low,Investigating,Description for incident 874,Grace,2025-01-26 12:36:00
875,2025-02-18,Password Attack,Low,Investigating,Description for incident 875,Web Team,2025-02-18 00:16:00
876,2025-02-23,DDoS,Critical,Resolved,Description for incident 876,Grace,2025-02-23 10:36:00
877,2025-02-08,Phishing,High,Resolved,Description for incident 877,Grace,2025-02-08 12:42:00
878,2025-02-26,Data Breach,Medium,Mitigating,Description for incident 878,Bob,2025-02-26 12:28:00
879,2025-02-11,Ransomware,Medium,Resolved,Description for incident 879,Charlie,2025-02-11 17:05:00
880,2025-01-23,SQL Injection,High,Investigating,Description for incident 880,Charlie,2025-01-23 16:42:00
881,2025-02-10,Password Attack,Critical,Mitigating,Description for incident 881,IT Admin,2025-02-10 13:23:00
882,2025-01-12,Phishing,Critical,Investigating,Description for incident 882,Alice,2025-01-12 18:48:00
883,2025-02-24,Network Intrusion,Low,Mitigating,Description for incident 883,Eve,2025-02-24 03:39:00
884,2025-02-06,Phishing,Critical,Investigating,Description for incident 884,Eve,2025-02-06 00:34:00
885,2025-01-18,Ransomware,High,Investigating,Description for incident 885,Bob,2025-01-18 11:35:00
886,2025-02-19,Insider Threat,High,Open,Description for incident 886,Security Team,2025-02-19 07:13:00
887,2025-01-25,Insider Threat,Critical,Mitigating,Description for incident 887,Alice,2025-01-25 13:54:00
888,2025-01-31,Password Attack,Critical,Resolved,Description for incident 888,Security Team,2025-01-31 16:09:00
889,2025-01-25,SQL Injection,High,Mitigating,Description for incident 889,Alice,2025-01-25 06:48:00
890,2025-02-08,Unauthorized Access,High,Mitigating,Description for incident 890,Web Team,2025-02-08 18:46:00
891,2025-01-06,SQL Injection,Critical,Open,Description for incident 891,Web Team,2025-01-06 12:12:00
892,2025-02-09,Unauthorized Access,Low,Mitigating,Description for incident 892,Bob,2025-02-09 11:19:00
893,2025-01-16,Password Attack,Medium,Resolved,Description for incident 893,Grace,2025-01-16 10:51:00
894,2025-02-02,DDoS,Medium,Open,Description for incident 894,Frank,2025-02-02 15:45:00
895,2025-02-15,Malware,High,Open,Description for incident 895,David,2025-02-15 05:34:00
896,2025-01-07,SQL Injection,High,Open,Description for incident 896,Grace,2025-01-07 01:48:00
897,2025-02-06,Ransomware,High,Mitigating,Description for incident 897,Eve,2025-02-06 14:24:00
898,2025-01-26,Insider Threat,Critical,Open,Description for incident 898,Web Team,2025-01-26 17:46:00
899,2025-01-11,Data Breach,Medium,Investigating,Description for incident 899,Grace,2025-01-11 01:48:00
900,2025-02-07,Ransomware,Critical,Open,Description for incident 900,Frank,2025-02-07 01:56:00
901,2025-01-13,Insider Threat,Medium,Open,Description for incident 901,Security Team,2025-01-13 22:27:00
902,2025-02-17,Unauthorized Access,Medium,Resolved,Description for incident 902,IT Admin,2025-02-17 15:58:00
903,2025-01-28,Malware,Medium,Mitigating,Description for incident 903,Alice,2025-01-28 02:58:00
904,2025-01-05,DDoS,Critical,Mitigating,Description for incident 904,Charlie,2025-01-05 14:16:00
905,2025-01-27,Unauthorized Access,High,Resolved,Description for incident 905,Grace,2025-01-27 20:31:00
906,2025-01-30,Password Attack,Critical,Resolved,Description for incident 906,Charlie,2025-01-30 23:03:00
907,2025-01-22,Data Breach,Medium,Mitigating,Description for incident 907,Security Team,2025-01-22 04:52:00
908,2025-01-17,Network Intrusion,Low,Mitigating,Description for incident 908,Alice,2025-01-17 19:09:00
909,2025-01-10,SQL Injection,Medium,Resolved,Description for incident 909,David,2025-01-10 15:05:00
910,2025-01-24,DDoS,High,Open,Description for incident 910,Grace,2025-01-24 15:52:00
911,2025-01-27,Unauthorized Access,High,Mitigating,Description for incident 911,Eve,2025-01-27 20:41:00
912,2025-01-19,Ransomware,High,Open,Description for incident 912,David,2025-01-19 04:40:00
913,2025-01-03,Insider Threat,Critical,Open,Description for incident 913,David,2025-01-03 03:10:00
914,2025-01-29,Network Intrusion,Medium,Investigating,Description for incident 914,Charlie,2025-01-29 04:06:00
915,2025-02-08,DDoS,Critical,Resolved,Description for incident 915,Web Team,2025-02-08 15:46:00
916,2025-02-01,Unauthorized Access,Low,Resolved,Description for incident 916,Alice,2025-02-01 14:03:00
917,2025-01-06,Malware,High,Mitigating,Description for incident 917,Grace,2025-01-06 00:59:00
918,2025-01-25,Phishing,Medium,Resolved,Description for incident 918,Grace,2025-01-25 00:25:00
919,2025-01-02,Unauthorized Access,Critical,Resolved,Description for incident 919,Frank,2025-01-02 02:39:00
920,2025-03-01,Data Breach,Low,Mitigating,Description for incident 920,Alice,2025-03-01 05:00:00
921,2025-01-07,SQL Injection,Medium,Mitigating,Description for incident 921,Grace,2025-01-07 20:19:00
922,2025-01-15,DDoS,Medium,Resolved,Description for incident 922,Web Team,2025-01-15 15:58:00
923,2025-02-20,Data Breach,High,Resolved,Description for incident 923,Grace,2025-02-20 13:40:00
924,2025-02-05,Phishing,High,Mitigating,Description for incident 924,IT Admin,2025-02-05 12:27:00
925,2025-01-06,Phishing,Low,Resolved,Description for incident 925,David,2025-01-06 06:14:00
926,2025-02-17,SQL Injection,High,Resolved,Description for incident 926,Charlie,2025-02-17 05:27:00
927,2025-01-12,SQL Injection,Medium,Investigating,Description for incident 927,Bob,2025-01-12 14:50:00
928,2025-01-28,Ransomware,Critical,Resolved,Description for incident 928,Bob,2025-01-28 03:01:00
929,2025-02-28,Malware,High,Investigating,Description for incident 929,David,2025-02-28 12:36:00
930,2025-01-25,DDoS,Critical,Resolved,Description for incident 930,Bob,2025-01-25 10:28:00
931,2025-01-18,Network Intrusion,High,Investigating,Description for incident 931,David,2025-01-18 07:14:00
932,2025-01-01,DDoS,Low,Mitigating,Description for incident 932,Alice,2025-01-01 16:21:00
933,2025-02-15,Unauthorized Access,High,Open,Description for incident 933,Frank,2025-02-15 22:26:00
934,2025-02-04,Data Breach,Low,Open,Description for incident 934,Charlie,2025-02-04 06:05:00
935,2025-02-02,Ransomware,High,Investigating,Description for incident 935,Security Team,2025-02-02 11:44:00
936,2025-01-07,Unauthorized Access,Medium,Investigating,Description for incident 936,David,2025-01-07 17:43:00
937,2025-01-27,Password Attack,Low,Mitigating,Description for incident 937,David,2025-01-27 16:55:00
938,2025-02-06,Insider Threat,Low,Investigating,Description for incident 938,Bob,2025-02-06 17:57:00
939,2025-02-17,Unauthorized Access,Low,Open,Description for incident 939,IT Admin,2025-02-17 09:39:00
940,2025-01-17,SQL Injection,Critical,Resolved,Description for incident 940,Alice,2025-01-17 17:16:00
941,2025-01-27,Insider Threat,Critical,Mitigating,Description for incident 941,Bob,2025-01-27 16:06:00
942,2025-01-11,Ransomware,Critical,Open,Description for incident 942,Alice,2025-01-11 08:56:00
943,2025-01-11,Unauthorized Access,Critical,Open,Description for incident 943,Grace,2025-01-11 00:43:00
944,2025-02-23,DDoS,High,Mitigating,Description for incident 944,Frank,2025-02-23 20:48:00
945,2025-02-24,Insider Threat,Low,Mitigating,Description for incident 945,Web Team,2025-02-24 10:00:00
946,2025-01-27,Network Intrusion,High,Investigating,Description for incident 946,Charlie,2025-01-27 01:58:00
947,2025-02-23,Malware,Low,Mitigating,Description for incident 947,Alice,2025-02-23 21:49:00
948,2025-02-01,Malware,High,Open,Description for incident 948,Frank,2025-02-01 16:00:00
949,2025-01-10,Network Intrusion,Low,Investigating,Description for incident 949,Web Team,2025-01-10 01:28:00
950,2025-02-01,Insider Threat,Medium,Investigating,Description for incident 950,Security Team,2025-02-01 18:35:00
951,2025-01-03,Phishing,Medium,Mitigating,Description for incident 951,Frank,2025-01-03 19:09:00
952,2025-01-10,DDoS,High,Mitigating,Description for incident 952,Frank,2025-01-10 02:37:00
953,2025-03-01,Unauthorized Access,Medium,Open,Description for incident 953,Alice,2025-03-01 02:30:00
954,2025-02-13,SQL Injection,Low,Resolved,Description for incident 954,David,2025-02-13 11:10:00
955,2025-01-19,Network Intrusion,Medium,Resolved,Description for incident 955,Security Team,2025-01-19 15:30:00
956,2025-01-05,Malware,Low,Mitigating,Description for incident 956,Eve,2025-01-05 19:03:00
957,2025-01-16,Malware,Critical,Open,Description for incident 957,Grace,2025-01-16 00:13:00
958,2025-01-14,Unauthorized Access,High,Open,Description for incident 958,Eve,2025-01-14 21:16:00
959,2025-02-21,DDoS,Medium,Investigating,Description for incident 959,Grace,2025-02-21 10:34:00
960,2025-02-14,SQL Injection,High,Open,Description for incident 960,Charlie,2025-02-14 22:45:00
961,2025-02-02,Network Intrusion,Low,Resolved,Description for incident 961,Security Team,2025-02-02 19:35:00
962,2025-01-31,Ransomware,Low,Open,Description for incident 962,IT Admin,2025-01-31 00:49:00
963,2025-02-08,Unauthorized Access,Critical,Investigating,Description for incident 963,Charlie,2025-02-08 08:06:00
964,2025-02-20,Data Breach,Medium,Investigating,Description for incident 964,Grace,2025-02-20 00:04:00
965,2025-01-29,Data Breach,Critical,Investigating,Description for incident 965,David,2025-01-29 23:56:00
966,2025-01-21,Unauthorized Access,Medium,Open,Description for incident 966,IT Admin,2025-01-21 06:05:00
967,2025-02-21,SQL Injection,High,Open,Description for incident 967,Charlie,2025-02-21 04:39:00
968,2025-01-11,Data Breach,Medium,Resolved,Description for incident 968,Alice,2025-01-11 12:20:00
969,2025-01-07,Data Breach,Critical,Open,Description for incident 969,Eve,2025-01-07 14:26:00
970,2025-02-21,Data Breach,High,Mitigating,Description for incident 970,David,2025-02-21 11:31:00
971,2025-02-12,Insider Threat,Critical,Investigating,Description for incident 971,Bob,2025-02-12 01:16:00
972,2025-01-04,Insider Threat,Medium,Resolved,Description for incident 972,Charlie,2025-01-04 13:59:00
973,2025-02-22,Phishing,High,Open,Description for incident 973,IT Admin,2025-02-22 06:03:00
974,2025-01-17,Insider Threat,Low,Investigating,Description for incident 974,Charlie,2025-01-17 11:05:00
975,2025-01-10,SQL Injection,Critical,Investigating,Description for incident 975,Security Team,2025-01-10 10:00:00
976,2025-01-09,Data Breach,Critical,Resolved,Description for incident 976,Alice,2025-01-09 08:37:00
977,2025-01-05,Insider Threat,Critical,Investigating,Description for incident 977,Alice,2025-01-05 00:31:00
978,2025-02-14,SQL Injection,Low,Investigating,Description for incident 978,Frank,2025-02-14 04:28:00
979,2025-02-08,Unauthorized Access,Critical,Investigating,Description for incident 979,Frank,2025-02-08 14:40:00
980,2025-02-10,DDoS,Medium,Open,Description for incident 980,Security Team,2025-02-10 20:30:00
981,2025-01-20,Password Attack,Low,Investigating,Description for incident 981,Alice,2025-01-20 07:30:00
982,2025-02-28,Unauthorized Access,High,Investigating,Description for incident 982,Bob,2025-02-28 01:28:00
983,2025-01-31,DDoS,Medium,Open,Description for incident 983,IT Admin,2025-01-31 19:02:00
984,2025-01-07,Data Breach,High,Open,Description for incident 984,Grace,2025-01-07 17:07:00
985,2025-01-24,Data Breach,Medium,Open,Description for incident 985,Eve,2025-01-24 06:12:00
986,2025-02-10,SQL Injection,Critical,Resolved,Description for incident 986,Charlie,2025-02-10 22:11:00
987,2025-01-12,Phishing,High,Resolved,Description for incident 987,Bob,2025-01-12 16:46:00
988,2025-01-27,Network Intrusion,Low,Investigating,Description for incident 988,Security Team,2025-01-27 10:36:00
989,2025-01-07,Insider Threat,High,Resolved,Description for incident 989,Security Team,2025-01-07 19:27:00
990,2025-01-25,Unauthorized Access,Medium,Resolved,Description for incident 990,Charlie,2025-01-25 15:05:00
991,2025-02-26,SQL Injection,Critical,Mitigating,Description for incident 991,Charlie,2025-02-26 10:45:00
992,2025-01-28,Malware,High,Resolved,Description for incident 992,Web Team,2025-01-28 06:40:00
993,2025-02-19,DDoS,High,Mitigating,Description for incident 993,Web Team,2025-02-19 01:49:00
994,2025-02-17,SQL Injection,Medium,Investigating,Description for incident 994,Charlie,2025-02-17 14:33:00
995,2025-01-23,Data Breach,Critical,Investigating,Description for incident 995,Alice,2025-01-23 06:39:00
996,2025-02-09,Ransomware,Critical,Open,Description for incident 996,Eve,2025-02-09 12:25:00
997,2025-02-19,Password Attack,Low,Mitigating,Description for incident 997,Alice,2025-02-19 09:17:00
998,2025-01-15,Ransomware,High,Resolved,Description for incident 998,Eve,2025-01-15 11:10:00
999,2025-02-25,Data Breach,Critical,Investigating,Description for incident 999,Web Team,2025-02-25 16:39:00
1000,2025-02-28,DDoS,Critical,Open,Description for incident 1000,Alice,2025-02-28 02:06:00
